iter	Passed	Remaining
139	1867	11471
140	1880	11454
141	1892	11437
142	1905	11421
143	1919	11408
144	1935	11413
145	1949	11404
146	1961	11384
147	1974	11365
148	1987	11352
149	1999	11331
150	2012	11315
151	2024	11294
152	2037	11280
153	2050	11266
154	2062	11244
155	2077	11237
156	2090	11227
157	2104	11213
158	2117	11199
159	2130	11183
160	2143	11168
161	2156	11154
162	2171	11149
163	2186	11145
164	2199	11130
165	2212	11117
166	2226	11103
167	2238	11086
168	2251	11070
169	2265	11061
170	2279	11048
171	2293	11041
172	2308	11034
173	2322	11024
174	2334	11005
175	2347	10990
176	2361	10980
177	2374	10965
178	2387	10949
179	2401	10938
180	2413	10920
181	2426	10904
182	2438	10887
183	2452	10876
184	2466	10867
185	2481	10862
186	2495	10848
187	2509	10837
188	2522	10826
189	2535	10809
190	2549	10800
191	2564	10791
192	2580	10788
193	2594	10778
194	2608	10769
195	2621	10753
196	2634	10736
197	2647	10723
198	2662	10715
199	2677	10711
200	2691	10700
201	2705	10688
202	2719	10675
203	2733	10664
204	2748	10658
205	2761	10645
206	2774	10630
207	2788	10616
208	2801	10603
209	2816	10595
210	2830	10585
211	2845	10577
212	2860	10569
213	2875	10561
214	2890	10552
215	2905	10545
216	2926	10558
217	2941	10552
218	2955	10539
219	2969	10527
220	2983	10517
221	2999	10513
222	3015	10507
223	3031	10500
224	3047	10497
225	3062	10487
226	3076	10475
227	3089	10462
228	3104	10450
229	3117	10438
230	3131	10425
231	3145	10413
232	3160	10404
233	3173	10389
234	3187	10374
235	3200	10359
236	3214	10347
237	3226	10330
238	3239	10316
239	3253	10301
240	3267	10290
241	3281	10278
242	3295	10266
243	3309	10253
244	3323	10240
245	3337	10229
246	3352	10220
247	3367	10209
248	3382	10201
249	3397	10193
250	3413	10184
251	3427	10174
252	3441	10159
253	3454	10144
254	3467	10129
255	3481	10116
256	3493	10099
257	3506	10083
258	3518	10065
259	3530	10049
260	3544	10035
261	3558	10023
262	3572	10010
263	3586	9997
264	3599	9983
265	3612	9968
266	3624	9950
267	3638	9938
268	3652	9924
269	3666	9912
270	3679	9898
271	3693	9884
272	3706	9869
273	3720	9857
274	3736	9850
275	3751	9841
276	3766	9829
277	3779	9816
278	3794	9804
279	3808	9793
280	3821	9778
281	3834	9763
282	3847	9747
283	3860	9732
284	3873	9718
285	3887	9704
286	3901	9693
287	3916	9682
288	3930	9669
289	3949	9669
290	3963	9657
291	3985	9662
292	3998	9647
293	4012	9635
294	4026	9623
295	4041	9612
296	4054	9598
297	4069	9586
298	4084	9576
299	4098	9562
300	4111	9549
301	4125	9535
302	4139	9522
303	4154	9510
304	4168	9498
305	4182	9486
306	4196	9473
307	4210	9460
308	4225	9448
309	4239	9436
310	4253	9423
311	4267	9411
312	4282	9399
313	4295	9384
314	4309	9371
315	4323	9357
316	4336	9344
317	4349	9328
318	4363	9314
319	4376	9299
320	4389	9285
321	4403	9271
322	4413	9250
323	4426	9235
324	4440	9222
325	4454	9209
326	4467	9194
327	4479	9178
328	4489	9157
329	4506	9149
330	4520	9137
331	4534	9124
332	4549	9111
333	4565	9103
334	4579	9090
335	4593	9077
336	4608	9065
337	4623	9055
338	4638	9043
339	4653	9033
340	4668	9022
341	4682	9009
342	4697	8997
343	4711	8984
344	4726	8974
345	4737	8954
346	4751	8941
347	4766	8930
348	4781	8919
349	4795	8906
350	4809	8892
351	4822	8877
352	4836	8865
353	4851	8853
354	4866	8841
355	4881	8829
356	4894	8816
357	4909	8804
358	4924	8793
359	4939	8782
360	4960	8780
361	4975	8768
362	4988	8754
363	5002	8740
364	5017	8728
365	5030	8713
366	5043	8699
367	5056	8684
368	5071	8672
369	5086	8661
370	5099	8645
371	5112	8630
372	5126	8617
373	5140	8603
374	5155	8592
375	5170	8581
376	5187	8573
377	5204	8563
378	5218	8551
379	5232	8538
380	5249	8529
381	5260	8510
382	5276	8499
383	5291	8488
384	5307	8478
385	5322	8465
386	5335	8451
387	5349	8438
388	5364	8425
389	5378	8412
390	5391	8397
391	5406	8385
392	5420	8372
393	5434	8358
394	5447	8344
395	5462	8331
396	5475	8316
397	5490	8304
398	5504	8290
399	5517	8276
400	5529	8259
401	5543	8246
402	5557	8232
403	5572	8220
404	5586	8207
405	5601	8195
406	5614	8179
407	5626	8163
